#Dt	counts	counts_err
4.5e-10	1239.0	6.37499253274787e-07
4.5999999999999996e-10	1163.0	5.870427831080719e-07
4.699999999999999e-10	1140.0	5.717730618733857e-07
4.8e-10	1051.0	5.126858797044759e-07
4.9e-10	1058.0	5.173331861672083e-07
4.999999999999999e-10	1019.0	4.914410501606398e-07
5.1e-10	939.0	4.383289763009328e-07
5.2e-10	947.0	4.4364018368692005e-07
5.299999999999999e-10	916.0	4.230592550662655e-07
5.4e-10	851.0	3.799056950552822e-07
5.5e-10	800.0	3.460467479697292e-07
5.599999999999999e-10	833.0	3.679554784368731e-07
5.7e-10	734.0	3.022292870354943e-07
5.8e-10	728.0	2.982458814960057e-07
5.899999999999999e-10	712.0	2.8762346672408543e-07
6e-10	726.0	2.9691807964954876e-07
6.1e-10	653.0	2.484533122525827e-07
6.199999999999999e-10	631.0	2.338474919411517e-07
6.3e-10	623.0	2.2853628455521255e-07
6.4e-10	584.0	2.0264414854861726e-07
6.499999999999999e-10	569.0	1.9268563469989637e-07
6.6e-10	546.0	1.7741591346526012e-07
6.7e-10	538.0	1.721047060792755e-07
6.799999999999999e-10	556.0	1.840549226977256e-07
6.9e-10	506.0	1.508598765354036e-07
7e-10	492.0	1.4156526360998362e-07
7.099999999999999e-10	453.0	1.1567312760337835e-07
7.2e-10	438.0	1.0571461375467686e-07
7.3e-10	431.0	1.0106730729195625e-07
7.399999999999999e-10	406.0	8.44697842108057e-08
7.5e-10	397.0	7.849467590159921e-08
7.6e-10	411.0	8.778928882704713e-08
7.699999999999999e-10	363.0	5.5922044511240913e-08
7.8e-10	374.0	6.322495466694027e-08
7.9e-10	320.0	2.7374304811673813e-08
7.999999999999999e-10	345.0	4.39718278928211e-08
8.1e-10	296.0	1.1440682653838125e-08
8.2e-10	319.0	2.671040388842737e-08
8.299999999999999e-10	337.0	3.866062050684403e-08
8.4e-10	261.0	1.179584965996331e-08
8.5e-10	295.0	1.0776781730595643e-08
8.599999999999999e-10	285.0	4.137772498283134e-09
8.7e-10	226.0	3.503238197351687e-08
8.8e-10	231.0	3.1712877357287865e-08
8.899999999999999e-10	243.0	2.3746066278347733e-08
9e-10	237.0	2.7729471817822e-08
9.1e-10	230.0	3.237677828052775e-08
9.199999999999999e-10	207.0	4.7646499515186845e-08
9.3e-10	224.0	3.6360183820012594e-08
9.399999999999999e-10	197.0	5.4285508747643156e-08
9.5e-10	221.0	3.835188658974586e-08
9.6e-10	197.0	5.4285508747643156e-08
9.7e-10	182.0	6.424402259632838e-08
9.8e-10	169.0	7.287473459852414e-08
9.899999999999999e-10	171.0	7.154693275203094e-08
9.999999999999999e-10	164.0	7.619423921475902e-08
1.01e-09	178.0	6.689962628930787e-08
