LECROYWR640Zi,60050,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,09-Nov-2017 17:25:19,0                 
Time,Ampl
-1.987e-008,12
-1.986e-008,5
-1.985e-008,6
-1.984e-008,3
-1.983e-008,10
-1.982e-008,8
-1.981e-008,12
-1.98e-008,6
-1.979e-008,9
-1.978e-008,5
-1.977e-008,7
-1.976e-008,9
-1.975e-008,7
-1.974e-008,12
-1.973e-008,7
-1.972e-008,14
-1.971e-008,10
-1.97e-008,14
-1.969e-008,8
-1.968e-008,11
-1.967e-008,9
-1.966e-008,5
-1.965e-008,5
-1.964e-008,10
-1.963e-008,7
-1.962e-008,6
-1.961e-008,4
-1.96e-008,12
-1.959e-008,5
-1.958e-008,12
-1.957e-008,7
-1.956e-008,8
-1.955e-008,6
-1.954e-008,10
-1.953e-008,11
-1.952e-008,8
-1.951e-008,8
-1.95e-008,10
-1.949e-008,4
-1.948e-008,10
-1.947e-008,7
-1.946e-008,5
-1.945e-008,11
-1.944e-008,12
-1.943e-008,7
-1.942e-008,8
-1.941e-008,6
-1.94e-008,8
-1.939e-008,11
-1.938e-008,8
-1.937e-008,10
-1.936e-008,14
-1.935e-008,3
-1.934e-008,4
-1.933e-008,8
-1.932e-008,6
-1.931e-008,12
-1.93e-008,13
-1.929e-008,11
-1.928e-008,9
-1.927e-008,10
-1.926e-008,10
-1.925e-008,11
-1.924e-008,16
-1.923e-008,10
-1.922e-008,8
-1.921e-008,7
-1.92e-008,14
-1.919e-008,9
-1.918e-008,10
-1.917e-008,6
-1.916e-008,24
-1.915e-008,10
-1.914e-008,11
-1.913e-008,10
-1.912e-008,15
-1.911e-008,12
-1.91e-008,4
-1.909e-008,10
-1.908e-008,6
-1.907e-008,9
-1.906e-008,14
-1.905e-008,8
-1.904e-008,7
-1.903e-008,10
-1.902e-008,7
-1.901e-008,13
-1.9e-008,6
-1.899e-008,11
-1.898e-008,6
-1.897e-008,14
-1.896e-008,9
-1.895e-008,8
-1.894e-008,14
-1.893e-008,6
-1.892e-008,8
-1.891e-008,10
-1.89e-008,9
-1.889e-008,5
-1.888e-008,9
-1.887e-008,7
-1.886e-008,5
-1.885e-008,9
-1.884e-008,7
-1.883e-008,8
-1.882e-008,10
-1.881e-008,13
-1.88e-008,7
-1.879e-008,9
-1.878e-008,15
-1.877e-008,8
-1.876e-008,4
-1.875e-008,8
-1.874e-008,11
-1.873e-008,9
-1.872e-008,8
-1.871e-008,6
-1.87e-008,10
-1.869e-008,8
-1.868e-008,6
-1.867e-008,8
-1.866e-008,10
-1.865e-008,8
-1.864e-008,8
-1.863e-008,10
-1.862e-008,12
-1.861e-008,9
-1.86e-008,14
-1.859e-008,10
-1.858e-008,6
-1.857e-008,7
-1.856e-008,7
-1.855e-008,5
-1.854e-008,11
-1.853e-008,9
