LECROYWaveRunnerøP,20728,Histogram
Segments,1,SegmentSize,5000
Segment,TrigTime,TimeSinceSegment1
#1,26-May-2017 07:59:42,0                 
Time,Ampl
-4.021e-008,627
-4.02e-008,627
-4.019e-008,654
-4.018e-008,681
-4.017e-008,653
-4.016e-008,688
-4.015e-008,693
-4.014e-008,696
-4.013e-008,656
-4.012e-008,610
-4.011e-008,662
-4.01e-008,703
-4.009e-008,690
-4.008e-008,642
-4.007e-008,719
-4.006e-008,668
-4.005e-008,675
-4.004e-008,658
-4.003e-008,701
-4.002e-008,673
-4.001e-008,679
-4e-008,668
-3.999e-008,643
-3.998e-008,670
-3.997e-008,629
-3.996e-008,634
-3.995e-008,665
-3.994e-008,716
-3.993e-008,681
-3.992e-008,688
-3.991e-008,689
-3.99e-008,663
-3.989e-008,686
-3.988e-008,647
-3.987e-008,707
-3.986e-008,663
-3.985e-008,665
-3.984e-008,676
-3.983e-008,635
-3.982e-008,679
-3.981e-008,667
-3.98e-008,689
-3.979e-008,638
-3.978e-008,688
-3.977e-008,683
-3.976e-008,752
-3.975e-008,652
-3.974e-008,669
-3.973e-008,697
-3.972e-008,653
-3.971e-008,674
-3.97e-008,671
-3.969e-008,667
-3.968e-008,718
-3.967e-008,694
-3.966e-008,700
-3.965e-008,661
-3.964e-008,686
-3.963e-008,631
-3.962e-008,644
-3.961e-008,732
-3.96e-008,683
-3.959e-008,697
-3.958e-008,670
-3.957e-008,687
-3.956e-008,665
-3.955e-008,697
-3.954e-008,714
-3.953e-008,760
-3.952e-008,655
-3.951e-008,708
-3.95e-008,740
-3.949e-008,667
-3.948e-008,720
-3.947e-008,721
-3.946e-008,691
-3.945e-008,752
-3.944e-008,694
-3.943e-008,721
-3.942e-008,700
-3.941e-008,689
-3.94e-008,711
-3.939e-008,679
-3.938e-008,654
-3.937e-008,708
-3.936e-008,726
-3.935e-008,675
-3.934e-008,644
-3.933e-008,660
-3.932e-008,733
-3.931e-008,711
-3.93e-008,739
-3.929e-008,692
-3.928e-008,718
-3.927e-008,764
-3.926e-008,697
-3.925e-008,747
-3.924e-008,723
-3.923e-008,662
-3.922e-008,694
-3.921e-008,712
-3.92e-008,710
-3.919e-008,721
-3.918e-008,710
-3.917e-008,721
-3.916e-008,724
-3.915e-008,731
-3.914e-008,722
-3.913e-008,688
-3.912e-008,674
-3.911e-008,689
-3.91e-008,732
-3.909e-008,699
-3.908e-008,721
-3.907e-008,716
-3.906e-008,732
-3.905e-008,743
-3.904e-008,716
-3.903e-008,740
-3.902e-008,735
-3.901e-008,732
-3.9e-008,688
-3.899e-008,717
-3.898e-008,728
-3.897e-008,761
-3.896e-008,745
-3.895e-008,700
-3.894e-008,731
-3.893e-008,765
-3.892e-008,748
-3.891e-008,707
-3.89e-008,716
-3.889e-008,727
-3.888e-008,749
-3.887e-008,758
-3.886e-008,753
-3.885e-008,774
-3.884e-008,756
-3.883e-008,684
-3.882e-008,716
-3.881e-008,720
-3.88e-008,755
-3.879e-008,800
-3.878e-008,682
-3.877e-008,733
-3.876e-008,749
